Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.405	3.418
0.405	4.297
0.405	3.906
0.405	4.688
0.405	4.395
0.405	5.078
0.406	4.883
0.406	5.664
0.406	5.567
0.407	6.543
0.407	6.348
0.407	6.836
0.408	6.250
0.408	6.250
0.409	5.078
0.409	5.078
0.409	3.613
0.410	3.418
0.410	2.149
0.411	1.660
0.411	0.488
0.412	0.586
0.412	0.000
0.412	0.391
0.413	-0.195
0.414	0.391
0.415	-0.195
0.416	0.195
0.417	-0.293
0.418	0.195
0.419	-0.293
0.420	0.293
0.421	-0.293
0.422	0.195
0.422	-0.293
0.423	0.195
0.423	-0.195
0.424	0.195
0.424	-0.293
0.425	0.195
0.425	-0.293
0.425	0.195
0.425	-0.391
0.426	0.195
0.427	-0.293
0.427	0.195
0.427	-0.293
0.427	0.195
0.427	-0.293
0.427	0.195
0.428	-0.293
0.429	0.195
0.430	-0.293
0.430	0.195
0.430	-0.293
0.430	0.195
0.430	-0.195
0.430	0.098
0.430	-0.195
0.430	0.195
0.430	-0.391
0.430	0.098
0.430	-0.293
0.430	0.098
0.430	-0.293
0.430	0.098
0.430	-0.293
0.430	0.195
0.430	-0.293
0.430	0.195
0.430	-0.195
0.430	0.195
0.430	-0.195
0.430	0.098
0.430	-0.195
0.430	0.098
0.430	-0.293
0.430	0.098
0.430	-0.195
0.430	0.195
0.430	-0.195
0.430	0.098
0.430	-0.195
0.430	0.098
0.430	-0.293
0.430	0.098
0.430	-0.195
0.430	0.098
0.430	-0.195
0.430	0.098
0.430	-0.195
0.430	0.098
0.429	-0.195
0.429	0.098
0.429	-0.195
0.429	0.098
0.429	-0.195
0.429	0.000
0.429	-0.293
0.429	0.098
0.429	-0.195
0.429	0.098
0.428	-0.195
0.428	0.098
0.427	-0.195
0.427	0.098
0.427	-0.195
0.427	0.098
0.426	-0.195
0.426	0.098
0.425	-0.195
0.425	0.098
0.424	-0.195
0.424	0.000
0.424	-0.195
0.423	0.098
0.423	-0.195
0.423	0.000
0.422	-0.195
0.422	0.098
0.421	-0.098
0.421	0.098
0.421	0.000
0.421	0.098
0.420	-0.195
0.420	0.098
0.420	0.000
0.419	0.098
0.419	0.000
0.418	0.098
0.418	0.000
0.417	0.098
0.417	0.000
0.417	0.098
0.416	0.000
0.416	0.098
0.416	0.000
0.416	0.195
0.416	0.000
0.416	0.195
0.416	0.000
0.416	0.195
0.416	0.000
