Distance_(pixels),Gray_Value
999,73.1185
1000,73.0172
1001,73.0293
1002,73.0999
1003,73.1654
1004,73.3448
1005,73.2245
1006,72.7853
1007,72.2734
1008,72.0837
1009,71.5010
1010,70.7647
1011,70.1646
1012,69.7278
1013,69.3300
1014,68.7726
1015,68.2259
1016,68.0525
1017,68.0674
1018,67.9537
1019,67.6577
1020,66.6736
1021,65.6472
1022,64.8471
1023,64.4330
1024,64.2433
1025,63.9481
1026,63.3491
1027,62.6664
1028,62.2737
1029,62.0008
1030,61.6728
1031,61.0590
1032,60.1520
1033,59.5372
1034,59.2433
1035,59.1199
1036,58.9536
1037,58.6252
1038,57.9545
1039,57.3767
1040,57.4005
1041,57.8966
1042,58.4516
1043,58.5552
1044,57.9554
1045,57.4992
1046,57.3219
1047,57.3344
1048,57.5088
1049,57.6814
1050,57.7512
1051,57.6147
1052,57.5300
1053,57.4384
1054,57.3257
1055,57.2666
1056,56.8796
1057,56.3999
1058,56.1032
1059,56.1176
1060,56.2651
1061,56.1787
1062,56.0200
1063,55.7059
1064,55.5372
1065,55.5645
1066,56.0638
1067,56.4881
1068,56.5832
1069,56.4403
1070,56.1547
1071,56.0509
1072,55.8506
1073,55.6747
1074,55.3794
1075,55.0467
1076,54.7450
1077,54.6832
1078,55.2127
1079,55.5702
1080,55.6050
1081,55.5943
1082,55.5636
1083,55.7436
1084,55.8250
1085,55.7138
1086,55.4100
1087,55.0932
1088,54.7627
1089,54.3958
1090,54.0680
1091,53.9466
1092,53.9051
1093,53.6676
1094,53.0282
1095,52.6629
1096,52.3324
1097,52.1353
1098,52.0992
1099,52.0270
1100,52.0259
1101,52.2491
1102,52.3518
1103,52.0836
1104,51.7003
1105,51.3991
1106,51.5402
1107,51.7838
1108,51.7760
1109,51.6210
1110,51.3682
1111,51.2785
1112,51.3498
1113,51.4922
1114,51.5896
1115,51.6485
1116,51.4910
1117,51.4204
1118,51.4257
1119,51.1478
1120,50.9106
1121,50.8148
1122,50.9163
1123,50.8880
1124,50.5876
1125,50.3517
1126,50.1879
1127,50.0772
1128,49.9206
1129,49.8049
1130,49.9663
1131,50.0253
1132,49.8326
1133,49.5004
1134,48.9489
1135,48.5430
1136,48.2612
1137,48.1297
1138,48.1470
1139,48.1860
1140,47.8844
1141,47.5266
1142,47.1624
1143,46.7252
1144,46.3345
1145,46.1622
1146,46.1257
1147,46.1960
1148,46.1003
1149,45.9198
1150,45.8448
1151,45.8817
1152,45.5386
1153,45.0600
1154,44.6454
1155,44.3969
1156,44.2436
1157,44.2551
1158,44.2801
1159,44.1703
1160,44.2077
1161,44.1654
1162,44.1795
1163,44.1088
1164,43.9702
1165,43.7637
1166,43.6301
1167,43.5578
1168,43.5993
1169,43.4877
1170,43.3179
1171,43.0951
1172,43.0102
1173,42.9315
1174,42.9139
1175,43.1582
1176,43.1176
1177,43.0585
1178,42.8583
1179,42.6214
1180,42.4363
1181,42.3802
1182,42.3708
1183,42.3490
1184,42.2162
1185,42.0786
1186,41.9953
1187,41.9328
1188,41.6027
1189,41.3145
1190,41.0513
1191,40.8821
1192,40.7737
1193,40.7904
1194,40.6270
1195,40.4709
1196,40.2924
1197,40.1801
1198,40.1737
1199,40.1676
1200,40.0266
1201,39.9117
1202,39.8711
1203,39.8381
1204,39.9011
1205,39.9756
1206,40.1257
1207,40.1852
1208,39.9144
1209,39.6640
1210,39.4154
1211,39.2560
1212,39.2692
1213,39.2351
1214,38.9695
1215,38.7301
1216,38.6142
1217,38.6615
1218,38.7792
1219,38.8416
1220,38.6808
1221,38.5277
1222,38.3102
1223,38.2013
1224,38.0445
1225,37.8172
1226,37.2828
1227,36.7332
1228,36.1391
1229,35.8458
1230,35.6394
1231,35.5987
1232,35.5245
1233,35.5099
1234,35.3413
1235,35.1064
1236,34.8992
1237,34.6433
1238,34.6125
1239,34.6332
1240,34.6646
1241,34.4992
1242,34.2275
1243,33.7959
1244,33.4092
1245,33.3474
1246,33.2538
1247,33.1614
1248,32.9987
1249,32.9191
1250,32.8213
1251,32.8065
1252,32.6612
1253,32.3839
1254,32.1390
1255,31.7973
1256,31.7641
1257,31.7593
1258,31.8572
1259,31.7041
1260,31.4014
1261,31.1728
1262,30.8904
1263,30.6785
1264,30.3536
1265,30.1336
1266,30.0515
1267,30.0496
1268,29.9464
1269,29.7454
1270,29.3154
1271,28.7955
1272,28.5926
1273,28.3676
1274,28.1314
1275,28.1024
1276,28.1788
1277,28.3032
1278,28.2365
1279,27.9545
1280,27.6391
1281,27.4146
1282,27.3613
1283,27.2608
1284,27.2125
1285,27.0377
1286,26.5967
1287,26.2127
1288,25.9725
1289,25.8212
1290,25.6641
1291,25.6041
1292,25.6151
1293,25.7599
1294,25.9688
1295,25.7698
1296,25.3553
1297,25.1087
1298,24.9995
1299,25.1183
1300,25.2978
1301,25.5056
1302,25.5387
1303,25.4943
1304,25.3265
1305,25.1857
1306,24.9848
1307,24.7662
1308,24.6004
1309,24.4442
1310,24.4808
1311,24.4689
1312,24.4369
1313,24.3899
1314,23.9695
1315,23.4430
1316,23.0977
1317,22.9549
1318,22.8757
1319,22.8193
1320,22.5512
1321,22.1855
1322,21.9092
1323,21.7355
1324,21.7397
1325,21.8923
1326,22.0690
1327,22.2399
1328,22.2815
1329,22.0964
1330,21.5631
1331,20.9922
1332,20.4727
1333,19.9713
1334,19.3535
1335,19.1120
1336,18.7385
1337,18.4512
1338,18.2439
1339,18.1440
1340,18.1390
1341,18.2300
1342,18.1051
1343,18.0190
1344,17.7081
1345,17.3678
1346,17.0572
1347,16.9330
1348,16.8391
1349,16.7121
1350,16.8099
1351,17.1509
1352,17.3042
1353,17.3750
1354,17.3257
1355,17.3326
1356,17.3874
1357,17.1035
1358,16.9538
1359,16.9177
1360,16.8397
1361,16.5976
1362,16.3944
1363,16.1711
1364,16.0090
1365,15.7393
1366,15.6685
1367,15.9418
1368,16.2618
1369,16.2728
1370,16.1676
1371,15.9050
1372,15.6146
1373,15.3179
1374,15.4764
1375,15.7105
1376,15.7602
1377,15.6515
1378,15.3827
1379,15.1874
1380,15.2316
