Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.525	0.000
-0.529	0.010
-0.532	0.000
-0.534	0.020
-0.537	0.000
-0.540	0.020
-0.542	0.000
-0.544	0.020
-0.546	0.000
-0.548	0.020
-0.550	0.000
-0.552	0.020
-0.553	0.000
-0.555	0.020
-0.555	-0.010
-0.556	0.010
-0.557	0.000
-0.558	0.020
-0.560	0.000
-0.562	0.020
-0.565	0.000
-0.566	0.020
-0.568	0.000
-0.569	0.010
-0.571	-0.010
-0.573	0.010
-0.575	0.000
-0.578	0.010
-0.580	-0.020
-0.583	0.010
-0.586	-0.010
-0.589	0.020
-0.592	0.000
-0.594	0.010
-0.596	-0.010
-0.599	0.010
-0.601	-0.020
-0.603	0.010
-0.605	-0.010
-0.607	0.010
-0.609	-0.020
-0.611	0.010
-0.613	-0.020
-0.616	0.010
-0.618	-0.010
-0.620	0.020
-0.622	-0.020
-0.622	0.010
-0.624	-0.020
-0.624	0.010
-0.626	-0.020
-0.627	0.020
-0.629	-0.020
-0.631	0.010
-0.632	-0.029
-0.633	0.010
-0.634	-0.010
-0.635	0.020
-0.636	-0.010
-0.637	0.020
-0.639	-0.010
-0.641	0.010
-0.644	-0.010
-0.645	0.010
-0.647	-0.010
-0.648	0.010
-0.649	-0.020
-0.651	0.010
-0.652	-0.020
-0.653	0.000
-0.655	-0.020
-0.658	0.010
-0.660	-0.020
-0.661	0.010
-0.663	-0.020
-0.664	0.010
-0.666	-0.010
-0.667	0.010
-0.668	-0.010
-0.670	0.010
-0.670	-0.010
-0.671	0.010
-0.672	-0.029
-0.672	0.010
-0.673	-0.010
-0.674	0.010
-0.675	-0.010
-0.677	0.010
-0.678	0.000
-0.679	0.010
-0.680	-0.020
-0.681	0.010
-0.681	-0.020
-0.682	0.010
-0.682	-0.020
-0.683	0.010
-0.684	-0.020
-0.685	0.010
-0.686	-0.010
-0.687	0.020
-0.688	-0.020
-0.689	0.010
-0.689	-0.020
-0.690	0.010
-0.691	-0.020
-0.691	0.020
-0.692	0.000
-0.693	0.029
-0.694	0.000
-0.695	0.059
-0.697	0.088
-0.698	0.234
-0.701	0.498
-0.703	0.859
-0.705	0.977
-0.706	0.986
-0.708	0.938
-0.709	0.947
-0.711	0.859
-0.712	0.801
-0.714	0.645
-0.716	0.527
-0.717	0.313
-0.718	0.176
-0.720	0.010
